iter	Passed	Remaining
966	2395	2559
967	2397	2555
968	2398	2552
969	2401	2549
970	2403	2546
971	2404	2543
972	2406	2539
973	2408	2536
974	2409	2533
975	2411	2530
976	2413	2526
977	2414	2523
978	2417	2521
979	2419	2517
980	2420	2514
981	2422	2511
982	2423	2507
983	2425	2504
984	2426	2500
985	2428	2497
986	2429	2493
987	2431	2490
988	2434	2488
989	2435	2484
990	2437	2481
991	2438	2478
992	2440	2474
993	2442	2471
994	2443	2468
995	2445	2464
996	2446	2461
997	2448	2458
998	2450	2455
999	2452	2452
1000	2454	2449
1001	2456	2446
1002	2458	2443
1003	2459	2440
1004	2461	2436
1005	2463	2433
1006	2466	2431
1007	2467	2428
1008	2469	2425
1009	2471	2422
1010	2472	2419
1011	2474	2415
1012	2475	2412
1013	2477	2409
1014	2479	2405
1015	2482	2404
1016	2484	2401
1017	2487	2399
1018	2489	2396
1019	2490	2393
1020	2492	2390
1021	2494	2387
1022	2497	2385
1023	2500	2382
1024	2502	2380
1025	2504	2377
1026	2506	2374
1027	2507	2371
1028	2509	2368
1029	2512	2365
1030	2515	2364
1031	2517	2361
1032	2519	2358
1033	2521	2355
1034	2522	2352
1035	2524	2348
1036	2525	2345
1037	2527	2342
1038	2529	2340
1039	2531	2336
1040	2533	2333
1041	2534	2330
1042	2536	2326
1043	2537	2323
1044	2539	2320
1045	2540	2317
1046	2542	2313
1047	2544	2311
1048	2546	2308
1049	2548	2305
1050	2549	2302
1051	2551	2299
1052	2552	2295
1053	2554	2292
1054	2555	2289
1055	2557	2285
1056	2558	2282
1057	2560	2280
1058	2562	2277
1059	2564	2274
1060	2565	2270
1061	2567	2267
1062	2568	2264
1063	2570	2261
1064	2572	2258
1065	2573	2255
1066	2575	2251
1067	2577	2249
1068	2578	2245
1069	2580	2242
1070	2581	2239
1071	2583	2236
1072	2585	2233
1073	2587	2230
1074	2588	2227
1075	2590	2224
1076	2592	2221
1077	2594	2218
1078	2595	2215
1079	2597	2212
1080	2598	2209
1081	2600	2206
1082	2601	2202
1083	2603	2199
1084	2604	2196
1085	2606	2193
1086	2608	2191
1087	2610	2188
1088	2611	2185
1089	2613	2181
1090	2615	2178
